[GIN] 2025/07/20 - 11:29:28 | 200 |      49.269µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:28 | 200 |     290.534µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:30 | 200 |      52.701µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:30 | 200 |     297.471µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:32 | 200 |      76.234µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:32 | 200 |     468.958µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:34 | 200 |      46.304µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:34 | 200 |      300.68µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:36 | 200 |      45.887µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:36 | 200 |     324.392µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:38 | 200 |      78.081µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:38 | 200 |     416.881µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:40 | 200 |      92.186µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:40 | 200 |     299.025µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:42 | 200 |      53.611µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:42 | 200 |     341.502µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:44 | 200 |     266.733µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:44 | 200 |    1.206128ms |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:46 | 200 |      52.713µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:46 | 200 |     258.187µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:48 | 200 |      69.854µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:48 | 200 |     480.412µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:50 | 200 |      46.727µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:50 | 200 |     372.008µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:52 | 200 |       54.68µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:52 | 200 |     298.895µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:54 | 200 |      73.184µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:54 | 200 |     384.717µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:56 | 200 |      50.594µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:56 | 200 |     274.572µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:29:58 | 200 |      61.265µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:29:58 | 200 |     295.739µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:00 | 200 |      51.198µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:00 | 200 |     293.158µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:02 | 200 |      57.603µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:02 | 200 |     270.866µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:04 | 200 |      55.597µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:04 | 200 |     249.934µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:06 | 200 |      57.573µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:06 | 200 |     238.631µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:08 | 200 |      72.565µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:08 | 200 |     279.052µs |       127.0.0.1 | GET      "/api/v1/interfaces"
